sample,human_count,all_count,percentage_endo
bftm030236.sam,79010,27571762,0.2865613013778372
bftm1502ecol15.sam,39878,51388140,0.07760156331791733
bftm130122.sam,13086,41265242,0.031711918713574976
bftm100113.sam,1330862,100223950,1.3278881943886667
bftm0401ecol39.sam,35016,42149188,0.08307633352272409
bftm230440.sam,2074422,42879336,4.837812787026366
bftm2301ext33.sam,56514,18796990,0.3006545196863966
bftm280135.sam,4166625,31803446,13.101174633717367
bftm070332.sam,49660,26437410,0.18783988295373866
bftm2401ext31.sam,8009,28078268,0.02852383914848309
bftm140428.sam,40935,55616436,0.07360234301960665
bftm2103ext32.sam,49728,46270246,0.10747295356934129
bftm140127.sam,301794,104080352,0.28996250896614956
bftm040212.sam,12358,40581568,0.030452248666192495
bftm220210.sam,27227,85778526,0.031741044372807246
bftm110237.sam,20090,43720724,0.045950748665552744
bftm1003ext22.sam,12506,47524028,0.026315109485248175
bftm190220.sam,31615,69358310,0.04558213716568354
bftm180134.sam,22056,25888008,0.08519774870279706
bftm140341.sam,160855,83257562,0.19320166977745518
bftm0202ext20.sam,13833,49753554,0.027803038954764922
bftm270223.sam,41841,46300184,0.0903689713198548
bftm0803ext30.sam,8515,18437208,0.04618378227332468
bftm1002ecol4.sam,31273,52397704,0.05968391286763252
bftm30016.sam,108750,74694944,0.14559218358875803
bftm0601ext18.sam,7580,26092968,0.029049972391028876
bftm2204ext27.sam,375457,56935542,0.6594422162521962
bftm2801ext35.sam,1746163,16746372,10.427112212722852
bftm1104ecol11.sam,7871,52221098,0.015072452134192964
bftm060125.sam,21207,54179132,0.03914237681031878
bftm2101ext26.sam,2616893,54682456,4.785617163940112
bftm1303ext17.sam,7029,28080332,0.025031755322551027
bftm2601ext24.sam,146992,58945896,0.2493676574192714
bftm050238.sam,116870,32861610,0.3556429523690409
bftm0701ecol12.sam,17339,39086588,0.044360484982726045
bftm290124.sam,12239,67245490,0.018200477087757114
bftm09037.sam,15726,43494168,0.036156571612083716
bftm030111.sam,74027,58457354,0.12663419558812053
bftm3003ext25.sam,233908,28016386,0.8348971205636588
bftm1601ecol9.sam,109302,73952044,0.14780118856484886
bftm0604ecol14.sam,26539,43001534,0.06171640295436902
bftm1704ext28.sam,19248,48362604,0.039799345792050404
bftm150339.sam,53349,56123024,0.0950572442425768
bftm110126.sam,17412,37752822,0.046121055533279075
bftm2301ecol5.sam,266777,74217736,0.35945181620738204
bftm2704ext23.sam,200430,43787378,0.45773464672856184
bftm1104ext21.sam,14699,46757422,0.03143672035639604
bftm1603ecol2.sam,82361,54867598,0.150108630598336
bftm26043.sam,245491,40648682,0.6039334805492587
bftm1701ecol6.sam,11165,86439714,0.01291651659097345
bftm3004ext36.sam,85611,30880108,0.2772367246902116
bftm220116.sam,163892,70274880,0.23321562413198002
bftm0101ecol.sam,11861,62461836,0.018989195258365444
bftm2504ecol13.sam,1380883,52388322,2.635860335438879
bftm150117.sam,35414,77016038,0.04598263026721785
bftm080321.sam,19529,48315608,0.040419650726531274
bftm2304ext34.sam,419236,10953162,3.827534003422939
bftm1402ext19.sam,27936,41748458,0.06691504629943458
bftm120433.sam,63111,19740812,0.31969809549880723
bftm22034.sam,168141,60784258,0.2766193181135813
bftm17021.sam,151975,30179114,0.5035767451622337
bftm080215.sam,16288,76984636,0.02115746835511439
bftm200129.sam,215849,73008450,0.29564933922032316
bftm01028.sam,11035,44433538,0.024834844346628443
bftm200318.sam,91279,56072148,0.16278848457883227
bftm2501ecol7.sam,38054,53232538,0.07148635295202345
bftm0902ecol40.sam,156390,30088172,0.5197723543989312
bftm010319.sam,29115,63373402,0.04594198682911168
bftm2002ext29.sam,5048401,53649054,9.410046633813897
