,Sample
0,E5.anonym.bam
1,F4.anonym.bam
2,E2.anonym.bam
3,E1.anonym.bam
4,B10.anonym.bam
5,C3.anonym.bam
6,B7.anonym.bam
7,A1.anonym.bam
8,E12.anonym.bam
9,D3.anonym.bam
10,C2.anonym.bam
11,D7.anonym.bam
12,D1.anonym.bam
13,B2.anonym.bam
14,A2.anonym.bam
15,A6.anonym.bam
16,A8.anonym.bam
17,C10.anonym.bam
18,C9.anonym.bam
19,B8.anonym.bam
20,B4.anonym.bam
21,A3.anonym.bam
22,D12.anonym.bam
23,C11.anonym.bam
24,E11.anonym.bam
25,A5.anonym.bam
26,B1.anonym.bam
27,A11.anonym.bam
28,C1.anonym.bam
29,C12.anonym.bam
30,D6.anonym.bam
31,F1.anonym.bam
32,B11.anonym.bam
33,B5.anonym.bam
34,D11.anonym.bam
35,B3.anonym.bam
36,D5.anonym.bam
37,A9.anonym.bam
38,C4.anonym.bam
39,D2.anonym.bam
40,D9.anonym.bam
41,E3.anonym.bam
42,E9.anonym.bam
43,C7.anonym.bam
44,F3.anonym.bam
45,A4.anonym.bam
46,E6.anonym.bam
47,D8.anonym.bam
48,C6.anonym.bam
