sample,human_count,all_count,percentage_endo,organism
bftm2301ext33.sam,55095,18796990,0.2931054386899179,Non westernized human / Rural
bftm070332.sam,49029,26437410,0.18545311359925198,Non westernized human / Rural
bftm030236.sam,77452,27571762,0.2809105925112802,Non westernized human / Rural
bftm2401ext31.sam,7908,28078268,0.02816413035162995,Non westernized human / Rural
bftm280135.sam,4046109,31803446,12.722234565398981,Non westernized human / Rural
bftm130122.sam,12870,41265242,0.03118847576369478,Non westernized human / Rural
bftm0401ecol39.sam,34853,42149188,0.08268961195646284,Non westernized human / Rural
bftm230440.sam,2028606,42879336,4.730964117541372,Non westernized human / Rural
bftm1502ecol15.sam,39315,51388140,0.07650597978444054,Non westernized human / Rural
bftm040212.sam,11484,40581568,0.028298561553856173,Non westernized human / Rural
bftm2103ext32.sam,48689,46270246,0.10522745005505266,Non westernized human / Rural
bftm140428.sam,40617,55616436,0.07303056959636896,Non westernized human / Rural
bftm180134.sam,21821,25888008,0.08428999249382185,Non westernized human / Rural
bftm110237.sam,19889,43720724,0.045491012454414066,Non westernized human / Rural
bftm1003ext22.sam,12289,47524028,0.025858498357925388,Non westernized human / Rural
bftm0803ext30.sam,8469,18437208,0.0459342867965692,Non westernized human / Rural
bftm100113.sam,1309446,100223950,1.3065200483517163,Non westernized human / Rural
bftm190220.sam,31017,69358310,0.04471994776112625,Non westernized human / Rural
bftm270223.sam,40999,46300184,0.08855040403295157,Non westernized human / Rural
bftm220210.sam,26878,85778526,0.03133418263680586,Non westernized human / Rural
bftm0202ext20.sam,13721,49753554,0.027577929407816778,Non westernized human / Rural
bftm0601ext18.sam,7489,26092968,0.028701219424329193,Non westernized human / Rural
bftm140127.sam,293440,104080352,0.28193601804882445,Non westernized human / Rural
bftm2801ext35.sam,1708342,16746372,10.20126628024267,Non westernized human / Rural
bftm1002ecol4.sam,30725,52397704,0.05863806551523708,Non westernized human / Rural
bftm1303ext17.sam,6928,28080332,0.024672072965519067,Non westernized human / Rural
bftm140341.sam,157727,83257562,0.18944465368803376,Non westernized human / Rural
bftm2204ext27.sam,367707,56935542,0.6458303321324315,Non westernized human / Rural
bftm30016.sam,106606,74694944,0.14272184205667254,Non westernized human / Rural
bftm050238.sam,114780,32861610,0.34928294748796546,Non westernized human / Rural
bftm1104ecol11.sam,7688,52221098,0.014722019058274109,Non westernized human / Rural
bftm060125.sam,20622,54179132,0.038062625292704946,Non westernized human / Rural
bftm0701ecol12.sam,17077,39086588,0.043690178329200795,Non westernized human / Rural
bftm2101ext26.sam,2557108,54682456,4.676285937120308,Non westernized human / Rural
bftm2601ext24.sam,143719,58945896,0.24381510801023365,Non westernized human / Rural
bftm3003ext25.sam,228585,28016386,0.8158975251126253,Non westernized human / Rural
bftm09037.sam,15466,43494168,0.03555879031873883,Non westernized human / Rural
bftm0604ecol14.sam,26157,43001534,0.060828062552373136,Non westernized human / Rural
bftm110126.sam,16884,37752822,0.044722484586715135,Non westernized human / Rural
bftm030111.sam,72776,58457354,0.12449417399220636,Non westernized human / Rural
bftm290124.sam,12148,67245490,0.01806515202729581,Non westernized human / Rural
bftm1704ext28.sam,19128,48362604,0.039551220194843105,Non westernized human / Rural
bftm150339.sam,52807,56123024,0.09409150868278231,Non westernized human / Rural
bftm2704ext23.sam,194657,43787378,0.44455048210468323,Non westernized human / Rural
bftm1601ecol9.sam,106670,73952044,0.1442421253427424,Non westernized human / Rural
bftm1104ext21.sam,14441,46757422,0.03088493629952481,Non westernized human / Rural
bftm3004ext36.sam,83706,30880108,0.271067704815022,Non westernized human / Rural
bftm26043.sam,241501,40648682,0.5941176641348421,Non westernized human / Rural
bftm2304ext34.sam,409429,10953162,3.737998214579498,Non westernized human / Rural
bftm2301ecol5.sam,260661,74217736,0.3512111983583008,Non westernized human / Rural
bftm1603ecol2.sam,80129,54867598,0.14604065590769985,Non westernized human / Rural
bftm120433.sam,62164,19740812,0.31490092707432704,Non westernized human / Rural
bftm080321.sam,19267,48315608,0.039877382894571045,Non westernized human / Rural
bftm2504ecol13.sam,1344123,52388322,2.5656920257915496,Non westernized human / Rural
bftm0101ecol.sam,11690,62461836,0.01871542808956176,Non westernized human / Rural
bftm220116.sam,160165,70274880,0.22791216434663425,Non westernized human / Rural
bftm1402ext19.sam,27382,41748458,0.06558805118023761,Non westernized human / Rural
bftm17021.sam,149345,30179114,0.4948621089406402,Non westernized human / Rural
bftm1701ecol6.sam,11063,86439714,0.01279851527505054,Non westernized human / Rural
bftm150117.sam,35070,77016038,0.04553597005340628,Non westernized human / Rural
bftm22034.sam,165046,60784258,0.2715275392520215,Non westernized human / Rural
bftm0902ecol40.sam,155633,30088172,0.5172564155775233,Non westernized human / Rural
bftm01028.sam,10943,44433538,0.02462779353739511,Non westernized human / Rural
bftm2501ecol7.sam,37260,53232538,0.069994784017249,Non westernized human / Rural
bftm200318.sam,88945,56072148,0.15862599021532045,Non westernized human / Rural
bftm080215.sam,16237,76984636,0.021091221370456308,Non westernized human / Rural
bftm200129.sam,212498,73008450,0.29105945955570894,Non westernized human / Rural
bftm010319.sam,28985,63373402,0.045736853451547384,Non westernized human / Rural
bftm2002ext29.sam,4930107,53649054,9.18955066756629,Non westernized human / Rural
