,PC1,PC2,Canis_familiaris,Homo_sapiens,Soil,unknown,Predicted organism,plot_id
ZSM002,-12.652217,-13.047946000000001,0.050222998560135,0.921762005185683,0.014126104595563998,0.013888891658618,Homo sapiens,01
ZSM005,-16.683495999999998,-3.1311392999999996,0.050222998560382995,0.921762005190247,0.014126104595634,0.013888891653736002,Homo sapiens,02
ZSM023,-12.653141999999999,-13.413028,0.050222998560438,0.921762005191245,0.014126104595648998,0.013888891652668002,Homo sapiens,03
ZSM025,-19.370142,-4.2797184,0.050225688327396,0.9218113715185501,0.014126861140071,0.013836079013983,Homo sapiens,04
ZSM027,-20.425852,-2.4742227000000003,0.05022299856028099,0.92176200518837,0.014126104595605,0.013888891655744,Homo sapiens,05
ZSM028,-24.332617000000003,-9.976004,0.050222998560377,0.921762005190136,0.014126104595631999,0.013888891653853997,Homo sapiens,06
ZSM029,-0.6451475,-18.452852,0.05022299856006599,0.9217620051844241,0.014126104595545,0.013888891659965,Homo sapiens,07
ZSM031,-23.897522,1.077944,0.050222998560439006,0.9217620051912591,0.014126104595649999,0.013888891652653002,Homo sapiens,08
AHP001,-8.097011,-31.5381,0.032195484016652,0.014973938497284,0.468624819719761,0.484205757766303,Unknown,09
AHP002,-11.481475999999999,-34.936046999999995,0.040888229661892,0.019016885594990002,0.595153011026451,0.344941873716667,Soil,10
AHP003,-12.097717,-35.15215,0.035812641813374,0.016656258239863,0.5212747478745879,0.42625635207217605,Soil,11
AHP004,7.4636226,-7.2751220000000005,0.526756166898997,0.105530014349922,0.00923078656508,0.35848303218600197,Canis familiaris,12
YRK001,12.980815,1.2745117,0.9486853737079699,0.023321790438162997,0.014103944199886,0.013888891653982001,Canis familiaris,13
DRL001,-6.732208,-35.138317,0.033804128010314,0.015722109769152,0.49203960985409206,0.458434152366442,Unknown,14
CBA001,-8.971134,-35.102470000000004,0.036129765143017,0.016803750516471,0.525890670502308,0.421175813838205,Soil,15
BRF001,-12.659374,-35.26016,0.03633901691644,0.016901072339124,0.5289364571271,0.417823453617336,Soil,16
LEI010,-6.2987347,-30.463503000000003,0.036026768511276,0.016755847362466,0.52439149198533,0.422825892140928,Soil,17
ECO004,-9.55679,-34.750652,0.033749343207792,0.015696629665696002,0.49124218378675394,0.459311843339758,Unknown,18
CMN001,-8.172891,-35.0174,0.033419152373319,0.015543059766103002,0.486436055691336,0.464601732169242,Unknown,19
MLP001,-6.291108,-30.472929999999998,0.031279299414442,0.014547826192883001,0.455289196505688,0.498883677886987,Unknown,20
