Metagenome source;Food production;N;Source
Homo sapiens - Americans ?;Westernized;36;Human Microbiome Project
Homo sapiens - India (Bhopal and Kerala);?;19;Indian Gut Microbiome
Homo sapiens - Fiji Agrarian villages;?;20;Fiji Gut Microbiome
Homo sapiens - Madagascar;Non-Westernized;110;Madagascar gut microbiome
Homo sapiens - Yanomami;Non-Westernized;3;Yanomami gut microbiome
Homo sapiens - Tunapuo;Non-westernized;12;Tunapuco
Homo sapiens - Hadza;Non-westernized;38;Hadza gut micbiobiome
Homo sapiens - Matses;Non-westernized;24;Matses
Canis familiaris;-;150;-
Soil;-;16;-
Soil;-;2;-
Soil;-;2;-
