Sample;Study;Type
SRR042182 ;Human Microbiome Project;Westernized human
SRR059354 ;Human Microbiome Project;Westernized human
SRR059388 ;Human Microbiome Project;Westernized human
SRR059395 ;Human Microbiome Project;Westernized human
SRR059440 ;Human Microbiome Project;Westernized human
SRR061140 ;Human Microbiome Project;Westernized human
SRR061154 ;Human Microbiome Project;Westernized human
SRR061236 ;Human Microbiome Project;Westernized human
SRR061254 ;Human Microbiome Project;Westernized human
SRR061456 ;Human Microbiome Project;Westernized human
SRR061499 ;Human Microbiome Project;Westernized human
SRR061556 ;Human Microbiome Project;Westernized human
SRR062324 ;Human Microbiome Project;Westernized human
SRR062375 ;Human Microbiome Project;Westernized human
SRR062388 ;Human Microbiome Project;Westernized human
SRR062447 ;Human Microbiome Project;Westernized human
SRR062457 ;Human Microbiome Project;Westernized human
SRR063469 ;Human Microbiome Project;Westernized human
SRR063471 ;Human Microbiome Project;Westernized human
SRR1175001 ;Human Microbiome Project;Westernized human
SRR1175003 ;Human Microbiome Project;Westernized human
SRR1175007 ;Human Microbiome Project;Westernized human
SRR1175013 ;Human Microbiome Project;Westernized human
SRR1179027 ;Human Microbiome Project;Westernized human
SRR1179031 ;Human Microbiome Project;Westernized human
SRR1179033 ;Human Microbiome Project;Westernized human
SRR1179037 ;Human Microbiome Project;Westernized human
SRR1179043 ;Human Microbiome Project;Westernized human
SRR1179046 ;Human Microbiome Project;Westernized human
SRR1179049 ;Human Microbiome Project;Westernized human
SRR1179053 ;Human Microbiome Project;Westernized human
SRR346691 ;Human Microbiome Project;Westernized human
SRR642021 ;Human Microbiome Project;Westernized human
SRR642022 ;Human Microbiome Project;Westernized human
SRR646438 ;Human Microbiome Project;Westernized human
SRR646449 ;Human Microbiome Project;Westernized human
SRR1646027;Yanomami;Non Westernized Human
SRR1646028;Yanomami;Non Westernized Human
SRR1646037;Yanomami;Non Westernized Human
SRR1761664;Tunapuco;Non Westernized Human
SRR1761665;Tunapuco;Non Westernized Human
SRR1761666;Tunapuco;Non Westernized Human
SRR1761667;Tunapuco;Non Westernized Human
SRR1761668;Tunapuco;Non Westernized Human
SRR1761669;Tunapuco;Non Westernized Human
SRR1761670;Tunapuco;Non Westernized Human
SRR1761671;Tunapuco;Non Westernized Human
SRR1761672;Tunapuco;Non Westernized Human
SRR1761673;Tunapuco;Non Westernized Human
SRR1761674;Tunapuco;Non Westernized Human
SRR1761675;Tunapuco;Non Westernized Human
SRR1761698;Matses;Non Westernized Human
SRR1761699;Matses;Non Westernized Human
SRR1761700;Matses;Non Westernized Human
SRR1761701;Matses;Non Westernized Human
SRR1761702;Matses;Non Westernized Human
SRR1761703;Matses;Non Westernized Human
SRR1761704;Matses;Non Westernized Human
SRR1761705;Matses;Non Westernized Human
SRR1761706;Matses;Non Westernized Human
SRR1761707;Matses;Non Westernized Human
SRR1761708;Matses;Non Westernized Human
SRR1761709;Matses;Non Westernized Human
SRR1761710;Matses;Non Westernized Human
SRR1761711;Matses;Non Westernized Human
SRR1761712;Matses;Non Westernized Human
SRR1761713;Matses;Non Westernized Human
SRR1761714;Matses;Non Westernized Human
SRR1761715;Matses;Non Westernized Human
SRR1761716;Matses;Non Westernized Human
SRR1761717;Matses;Non Westernized Human
SRR1761718;Matses;Non Westernized Human
SRR1761719;Matses;Non Westernized Human
SRR1761720;Matses;Non Westernized Human
SRR1761721;Matses;Non Westernized Human
SRR1927149;Hadza;Non Westernized Human
SRR1929408;Hadza;Non Westernized Human
SRR1929484;Hadza;Non Westernized Human
SRR1929485;Hadza;Non Westernized Human
SRR1929563;Hadza;Non Westernized Human
SRR1929574;Hadza;Non Westernized Human
SRR1930121;Hadza;Non Westernized Human
SRR1930122;Hadza;Non Westernized Human
SRR1930123;Hadza;Non Westernized Human
SRR1930128;Hadza;Non Westernized Human
SRR1930132;Hadza;Non Westernized Human
SRR1930133;Hadza;Non Westernized Human
SRR1930134;Hadza;Non Westernized Human
SRR1930136;Hadza;Non Westernized Human
SRR1930138;Hadza;Non Westernized Human
SRR1930140;Hadza;Non Westernized Human
SRR1930141;Hadza;Non Westernized Human
SRR1930142;Hadza;Non Westernized Human
SRR1930143;Hadza;Non Westernized Human
SRR1930144;Hadza;Non Westernized Human
SRR1930145;Hadza;Non Westernized Human
SRR1930149;Hadza;Non Westernized Human
SRR1930176;Hadza;Non Westernized Human
SRR1930177;Hadza;Non Westernized Human
SRR1930179;Hadza;Non Westernized Human
SRR1930187;Hadza;Non Westernized Human
SRR1930244;Hadza;Non Westernized Human
SRR1930247;Hadza;Non Westernized Human
SRR1930248;Hadza;Non Westernized Human
SRR1930250;Hadza;Non Westernized Human
SRR1930251;Hadza;Non Westernized Human
SRR1930253;Hadza;Non Westernized Human
SRR1930255;Hadza;Non Westernized Human
SRR1930777;Hadza;Non Westernized Human
SRR1931170;Hadza;Non Westernized Human
SRR1931173;Hadza;Non Westernized Human
SRR1931177;Hadza;Non Westernized Human
SRR1931178;Hadza;Non Westernized Human
SRR2187423;Fiji Gut microbiome;Westernized human
SRR2187575;Fiji Gut microbiome;Westernized human
SRR2187582;Fiji Gut microbiome;Westernized human
SRR2188726;Fiji Gut microbiome;Westernized human
SRR2188983;Fiji Gut microbiome;Westernized human
SRR2188985;Fiji Gut microbiome;Westernized human
SRR2189052;Fiji Gut microbiome;Westernized human
SRR2193437;Fiji Gut microbiome;Westernized human
SRR2193552;Fiji Gut microbiome;Westernized human
SRR2195742;Fiji Gut microbiome;Westernized human
SRR2195842;Fiji Gut microbiome;Westernized human
SRR2195882;Fiji Gut microbiome;Westernized human
SRR2199461;Fiji Gut microbiome;Westernized human
SRR2199674;Fiji Gut microbiome;Westernized human
SRR2228216;Fiji Gut microbiome;Westernized human
SRR2228771;Fiji Gut microbiome;Westernized human
SRR2244854;Fiji Gut microbiome;Westernized human
SRR2246384;Fiji Gut microbiome;Westernized human
SRR2249439;Fiji Gut microbiome;Westernized human
SRR2251641;Fiji Gut microbiome;Westernized human
SRR5898921;Indian Microbiome;Westernized human
SRR5898923 ;Indian Microbiome;Westernized human
SRR5898924;Indian Microbiome;Westernized human
SRR5898928;Indian Microbiome;Westernized human
SRR5898929;Indian Microbiome;Westernized human
SRR5898940 ;Indian Microbiome;Westernized human
SRR5898944;Indian Microbiome;Westernized human
SRR5898947;Indian Microbiome;Westernized human
SRR5898948;Indian Microbiome;Westernized human
SRR5898956;Indian Microbiome;Westernized human
SRR5898969;Indian Microbiome;Westernized human
SRR5898971;Indian Microbiome;Westernized human
SRR5898978;Indian Microbiome;Westernized human
SRR5898984 ;Indian Microbiome;Westernized human
SRR5898992;Indian Microbiome;Westernized human
SRR5898994;Indian Microbiome;Westernized human
SRR5899002;Indian Microbiome;Westernized human
SRR5899009;Indian Microbiome;Westernized human
SRR5899013;Indian Microbiome;Westernized human
SRR7658579;Madagascar;Non Westernized Human
SRR7658580;Madagascar;Non Westernized Human
SRR7658581;Madagascar;Non Westernized Human
SRR7658582;Madagascar;Non Westernized Human
SRR7658583;Madagascar;Non Westernized Human
